,경찰서,주소,위도,경도
0,서울중부경찰서,대한민국 서울특별시 중구 을지로동 수표로 27,37.5636465,126.9895796
1,서울종로경찰서,대한민국 서울특별시 종로구 종로1.2.3.4가동 율곡로 46,37.5755578,126.9848674
2,서울남대문경찰서,대한민국 서울특별시 중구 회현동 한강대로 410,37.5547584,126.9734981
3,서울서대문경찰서,대한민국 서울특별시 서대문구 충현동 통일로 113,37.5647848,126.9667762
4,서울혜화경찰서,대한민국 서울특별시 종로구 인의동 창경궁로 112-16,37.5718529,126.9989143
5,서울용산경찰서,대한민국 서울특별시 용산구 원효로1가 백범로 329,37.5387099,126.9659183
6,서울성북경찰서,대한민국 서울특별시 성북구 삼선동5가 301,37.5897482,127.0161353
7,서울동대문경찰서,대한민국 서울특별시 동대문구 청량리동 약령시로21길 29,37.58506149999999,127.0457679
8,서울마포경찰서,대한민국 서울특별시 마포구 아현동 마포대로 183,37.550814,126.954028
9,서울영등포경찰서,대한민국 서울특별시 영등포구 영등포동1가 618-7,37.5153176,126.905728
10,서울성동경찰서,대한민국 서울특별시 성동구 행당동 왕십리광장로 9,37.5617309,127.0363806
11,서울동작경찰서,대한민국 서울특별시 동작구 노량진1동 노량진로 148,37.5130866,126.9428498
12,서울광진경찰서,대한민국 서울특별시 광진구 구의동 자양로 167,37.542873,127.083821
13,서울서부경찰서,대한민국 서울특별시 은평구 대조동 통일로 757,37.6128611,126.9274951
14,서울강북경찰서,대한민국 서울특별시 강북구 번1동 오패산로 406,37.63730390000001,127.0273399
15,서울금천경찰서,대한민국 서울특별시 금천구 시흥동 190,37.4568722,126.8970429
16,서울중랑경찰서,대한민국 서울특별시 중랑구 신내1동 신내역로3길 40-10,37.618692,127.1047136
17,서울강남경찰서,대한민국 서울특별시 강남구 대치동 998,37.5094352,127.0669578
18,서울관악경찰서,대한민국 서울특별시 관악구 봉천동,37.4743789,126.9509748
19,서울강서경찰서,대한민국 서울특별시 양천구 신월동 화곡로 73,37.5397827,126.8299968
20,서울강동경찰서,대한민국 서울특별시 강동구 성내1동 성내로 57,37.528511,127.1268224
21,서울종암경찰서,대한민국 서울특별시 성북구 종암동 종암로 135,37.6020592,127.0321577
22,서울구로경찰서,대한민국 서울특별시 구로구 구로동 가마산로 235,37.494931,126.886731
23,서울서초경찰서,대한민국 서울특별시 서초구 서초3동 반포대로 179,37.4956054,127.0052504
24,서울양천경찰서,대한민국 서울특별시 양천구 신정6동 목동동로 99,37.5165667,126.8656763
25,서울송파경찰서,대한민국 서울특별시 송파구 가락본동 9,37.5019065,127.1271513
26,서울노원경찰서,대한민국 서울특별시 노원구 하계동 노원로 283,37.6425238,127.0717076
27,서울방배경찰서,대한민국 서울특별시 서초구 방배본동 동작대로 204,37.4945959,126.9831279
28,서울은평경찰서,대한민국 서울특별시 은평구 불광동 연서로 365,37.6283597,126.9287226
29,서울도봉경찰서,대한민국 서울특별시 도봉구 창4동 노해로 403,37.6533589,127.052682
30,서울수서경찰서,대한민국 서울특별시 강남구 개포동 개포로 617,37.49349,127.0772119
